sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
AAVE-USDT-SWAP,4,,2026-04-15T16:00:00.000,2026-04-15T17:00:00.000,-112.8118,-1.0213,0,SL,1
AAVE-USDT-SWAP,4,E2,2026-04-16T15:00:00.000,2026-04-16T16:00:00.000,191.4551,2.0,1,TP,1
AAVE-USDT-SWAP,4,E1,2026-04-16T18:00:00.000,2026-04-16T19:00:00.000,192.8608,2.0,1,TP,1
AAVE-USDT-SWAP,4,,2026-04-16T20:00:00.000,2026-04-16T21:00:00.000,-109.8443,-1.0163,0,SL,1
AAVE-USDT-SWAP,5,,2026-06-17T17:00:00.000,2026-06-17T18:00:00.000,-112.8392,-1.0213,0,SL,1
AAVE-USDT-SWAP,5,,2026-06-25T15:00:00.000,2026-06-25T17:00:00.000,195.9759,2.0,1,TP,2
AAVE-USDT-SWAP,5,,2026-06-25T18:00:00.000,2026-06-25T19:00:00.000,-105.1628,-1.0085,0,SL,1
GMX-USDT-SWAP,1,,2025-08-07T18:00:00.000,2025-08-08T01:00:00.000,190.5709,2.0,1,TP,7
GMX-USDT-SWAP,3,,2025-12-25T18:00:00.000,2025-12-25T21:00:00.000,-121.0604,-1.035,0,SL,3
GMX-USDT-SWAP,3,,2026-02-25T15:00:00.000,2026-02-25T16:00:00.000,190.1818,2.0,1,TP,1
GMX-USDT-SWAP,3,,2026-02-25T17:00:00.000,2026-02-25T23:00:00.000,-114.0271,-1.0233,0,SL,6
GMX-USDT-SWAP,4,,2026-04-22T20:00:00.000,2026-04-22T23:00:00.000,187.2716,2.0,1,TP,3
TRX-USDT-SWAP,1,,2025-08-07T15:00:00.000,2025-08-07T20:00:00.000,-139.1362,-1.0651,0,SL,5
TRX-USDT-SWAP,3,,2026-01-07T17:00:00.000,2026-01-07T19:00:00.000,-153.7314,-1.0895,0,SL,2
TRX-USDT-SWAP,4,,2026-05-07T15:00:00.000,2026-05-07T20:00:00.000,-152.562,-1.0875,0,SL,5
DYDX-USDT-SWAP,1,,2025-08-13T16:00:00.000,2025-08-13T17:00:00.000,-109.4528,-1.0157,0,SL,1
DYDX-USDT-SWAP,1,,2025-09-18T21:00:00.000,2025-09-19T00:00:00.000,188.7836,2.0,1,TP,3
DYDX-USDT-SWAP,3,,2026-01-14T15:00:00.000,2026-01-14T18:00:00.000,-114.3331,-1.0238,0,SL,3
DYDX-USDT-SWAP,3,,2026-02-25T17:00:00.000,2026-02-25T21:00:00.000,191.8974,2.0,1,TP,4
DYDX-USDT-SWAP,4,E1,2026-03-25T16:00:00.000,2026-03-25T17:00:00.000,191.2228,2.0,1,TP,1
DYDX-USDT-SWAP,4,E1,2026-04-15T17:00:00.000,2026-04-15T18:00:00.000,190.2704,2.0,1,TP,1
DYDX-USDT-SWAP,4,,2026-04-15T19:00:00.000,2026-04-15T20:00:00.000,-111.8934,-1.0197,0,SL,1
DYDX-USDT-SWAP,4,E1,2026-04-16T15:00:00.000,2026-04-16T16:00:00.000,194.6247,2.0,1,TP,1
DYDX-USDT-SWAP,4,,2026-04-16T20:00:00.000,2026-04-16T21:00:00.000,-106.6168,-1.0109,0,SL,1
DYDX-USDT-SWAP,4,E2,2026-05-07T17:00:00.000,2026-05-07T18:00:00.000,195.8707,2.0,1,TP,1
DYDX-USDT-SWAP,4,E1,2026-05-07T19:00:00.000,2026-05-07T20:00:00.000,196.0741,2.0,1,TP,1
ALGO-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-115.853,-1.0263,0,SL,1
ALGO-USDT-SWAP,4,,2026-04-02T15:00:00.000,2026-04-02T21:00:00.000,-107.1259,-1.0118,0,SL,6
ALGO-USDT-SWAP,5,,2026-06-17T19:00:00.000,2026-06-17T20:00:00.000,-111.9425,-1.0198,0,SL,1
AXS-USDT-SWAP,1,,2025-08-13T16:00:00.000,2025-08-13T22:00:00.000,190.1563,2.0,1,TP,6
AXS-USDT-SWAP,4,,2026-04-16T19:00:00.000,2026-04-17T04:00:00.000,-116.0727,-1.0267,0,SL,9
COMP-USDT-SWAP,3,,2026-02-25T17:00:00.000,2026-02-25T22:00:00.000,-118.7388,-1.0311,0,SL,5
COMP-USDT-SWAP,4,E2,2026-04-08T16:00:00.000,2026-04-08T17:00:00.000,190.7813,2.0,1,TP,1
COMP-USDT-SWAP,4,,2026-04-08T18:00:00.000,2026-04-08T19:00:00.000,-111.3079,-1.0187,0,SL,1
COMP-USDT-SWAP,4,E2,2026-04-09T17:00:00.000,2026-04-09T18:00:00.000,191.8901,2.0,1,TP,1
COMP-USDT-SWAP,4,,2026-04-15T16:00:00.000,2026-04-16T13:00:00.000,190.2231,2.0,1,TP,21
CHZ-USDT-SWAP,1,,2025-10-02T18:00:00.000,2025-10-02T22:00:00.000,-113.239,-1.022,0,SL,4
CHZ-USDT-SWAP,3,,2025-12-31T16:00:00.000,2025-12-31T17:00:00.000,-107.7769,-1.0129,0,SL,1
CHZ-USDT-SWAP,3,,2026-01-14T17:00:00.000,2026-01-14T18:00:00.000,193.4001,2.0,1,TP,1
CHZ-USDT-SWAP,3,,2026-01-15T18:00:00.000,2026-01-15T20:00:00.000,-107.8404,-1.013,0,SL,2
CHZ-USDT-SWAP,4,E1,2026-04-15T16:00:00.000,2026-04-15T17:00:00.000,190.9998,2.0,1,TP,1
