feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
atr_rank_pct,1,realized_vol,2,184,0.41304347826086957,1.344012860698762,0.23913043478260876
rsi14,2,hour_utc,0,155,0.4129032258064516,1.342094229209714,0.23870967741935478
rsi14,1,dist_from_low20_pct,0,164,0.42073170731707316,1.3390556293624036,0.2621951219512194
ema200_slope_pct,1,dist_from_low20_pct,1,174,0.41379310344827586,1.3286336741278317,0.2413793103448275
realized_vol,2,session_code,0,253,0.41106719367588934,1.328479801095872,0.23320158102766808
dist_from_low20_pct,0,realized_vol,2,53,0.41509433962264153,1.3247001417257218,0.24528301886792458
ema200_slope_pct,2,hour_utc,1,180,0.40555555555555556,1.306542885133665,0.21666666666666667
ema200_slope_pct,1,hour_utc,0,209,0.41148325358851673,1.3010949697638046,0.23444976076555013
ema200_slope_pct,2,dist_from_ema200_pct,1,94,0.4148936170212766,1.2997262205082742,0.24468085106382975
dist_from_ema200_pct,1,bb_width,2,155,0.4064516129032258,1.298006112036012,0.21935483870967742
ema200_slope_pct,1,bb_width,2,171,0.40350877192982454,1.293351587931041,0.21052631578947356
rsi14,2,ema200_slope_pct,1,186,0.4032258064516129,1.28736662628639,0.20967741935483863
bb_width,2,hour_utc,0,213,0.40375586854460094,1.2858922203621606,0.21126760563380287
atr_rank_pct,0,session_code,1,248,0.40725806451612906,1.28533018685355,0.22177419354838712
atr_rank_pct,0,dist_from_low20_pct,0,300,0.41333333333333333,1.2843988230205887,0.24
adx14,1,dist_from_low20_pct,2,185,0.4,1.2797452686595587,0.20000000000000007
ema200_slope_pct,1,rel_vol,0,223,0.4125560538116592,1.2797240702047303,0.2376681614349777
atr_rank_pct,0,dist_from_low20_pct,2,60,0.4,1.267161739477617,0.20000000000000007
adx14,1,hour_utc,0,235,0.40425531914893614,1.2670102099125975,0.21276595744680848
ema200_slope_pct,1,session_code,0,242,0.39669421487603307,1.2259203529309628,0.1900826446280992
atr_rank_pct,0,regime_code,0,303,0.39603960396039606,1.223957282401476,0.18811881188118817
dist_from_ema200_pct,1,rel_vol,2,193,0.38860103626943004,1.2185876077148925,0.1658031088082902
atr_rank_pct,0,session_code,0,257,0.3968871595330739,1.2178357831208826,0.19066147859922167
atr_rank_pct,1,dist_from_ema200_pct,1,221,0.3936651583710407,1.2172088014994447,0.18099547511312208
rsi14,2,session_code,0,185,0.3891891891891892,1.2166210692656856,0.16756756756756763
ema200_slope_pct,1,dist_from_ema200_pct,2,83,0.3855421686746988,1.2142243859691397,0.15662650602409645
dist_from_low20_pct,2,session_code,0,217,0.3870967741935484,1.2106086046980484,0.16129032258064513
adx14,1,dist_from_ema200_pct,1,214,0.3925233644859813,1.2051510524732598,0.17757009345794394
adx14,1,realized_vol,2,212,0.3867924528301887,1.2039956073555407,0.1603773584905661
bb_width,2,realized_vol,0,18,0.3888888888888889,1.2026947862305635,0.16666666666666663
adx14,1,session_code,0,256,0.390625,1.1970066225459794,0.171875
ema200_slope_pct,1,rel_vol,2,190,0.38421052631578945,1.1925068852566052,0.15263157894736834
adx14,0,rel_vol,2,191,0.38219895287958117,1.1882287287279036,0.1465968586387435
bb_width,2,session_code,0,242,0.384297520661157,1.1858070886716199,0.152892561983471
atr_rank_pct,0,hour_utc,1,192,0.3854166666666667,1.1760312257113206,0.1562500000000001
realized_vol,1,hour_utc,1,202,0.3811881188118812,1.1751450387870122,0.14356435643564358
realized_vol,1,session_code,0,245,0.3836734693877551,1.1725009883214765,0.15102040816326523
adx14,1,ema200_slope_pct,1,212,0.3867924528301887,1.1692983439350195,0.1603773584905661
hour_utc,0,rel_vol,2,122,0.3770491803278688,1.1683035382708997,0.13114754098360648
atr_rank_pct,0,hour_utc,0,233,0.38626609442060084,1.1667660795843986,0.15879828326180256
adx14,0,rsi14,2,130,0.3769230769230769,1.1619151605172144,0.13076923076923075
ema200_slope_pct,1,session_code,1,238,0.38235294117647056,1.1581629411596976,0.1470588235294117
rsi14,2,dist_from_ema200_pct,1,191,0.3769633507853403,1.15424090374807,0.13089005235602091
realized_vol,1,hour_utc,0,213,0.38028169014084506,1.1532212251419995,0.14084507042253513
atr_rank_pct,0,rsi14,0,209,0.3875598086124402,1.1502989625753235,0.16267942583732065
ema200_slope_pct,1,hour_utc,1,185,0.3783783783783784,1.1501197191873114,0.1351351351351352
atr_rank_pct,1,rel_vol,0,193,0.38341968911917096,1.1472651158928315,0.15025906735751293
rsi14,1,ema200_slope_pct,1,180,0.37777777777777777,1.1396244508381908,0.1333333333333333
dist_from_ema200_pct,2,rel_vol,0,177,0.3785310734463277,1.13398785036437,0.13559322033898302
dist_from_ema200_pct,2,hour_utc,1,203,0.3694581280788177,1.1308732053429194,0.10837438423645318
adx14,0,bb_width,0,244,0.3770491803278688,1.1290467630572867,0.13114754098360648
rsi14,1,realized_vol,1,185,0.372972972972973,1.1281853697426463,0.11891891891891893
session_code,1,rel_vol,0,148,0.3783783783783784,1.1269484117145256,0.1351351351351352
rsi14,0,dist_from_ema200_pct,2,151,0.37748344370860926,1.126254849156531,0.1324503311258277
hour_utc,0,regime_code,0,316,0.37341772151898733,1.1226291020969141,0.120253164556962
adx14,1,bb_width,2,175,0.37142857142857144,1.121638787295457,0.11428571428571432
atr_rank_pct,0,bb_width,0,331,0.3776435045317221,1.120196110005557,0.13293051359516628
adx14,1,rel_vol,0,205,0.3804878048780488,1.118740022787619,0.14146341463414636
dist_from_ema200_pct,1,dist_from_low20_pct,1,207,0.3719806763285024,1.1175897606484566,0.1159420289855072
rsi14,0,rel_vol,2,73,0.3698630136986301,1.117423659867293,0.1095890410958903
ema200_slope_pct,1,regime_code,0,331,0.37462235649546827,1.1166397719388936,0.1238670694864048
rsi14,0,realized_vol,2,182,0.37362637362637363,1.1156614304673953,0.1208791208791209
ema200_slope_pct,1,realized_vol,1,177,0.3728813559322034,1.1131395593707183,0.11864406779661019
adx14,0,dist_from_ema200_pct,2,165,0.3696969696969697,1.1123487347402876,0.10909090909090902
